2026-07-13 14:21:37.573 | INFO    | app.core.logging:setup_logging:50 | Logging configured
2026-07-13 14:21:37.575 | INFO    | app.main:lifespan:31 | Starting FinanceCalculator API v1.0.0 in development mode
2026-07-13 14:21:37.575 | WARNING | app.main:lifespan:33 | Running in development mode
2026-07-13 15:02:32.833 | INFO    | app.core.logging:setup_logging:50 | Logging configured
2026-07-13 15:02:32.833 | INFO    | app.main:lifespan:31 | Starting FinanceCalculator API v1.0.0 in development mode
2026-07-13 15:02:32.833 | WARNING | app.main:lifespan:33 | Running in development mode
2026-07-13 15:02:38.105 | INFO    | app.core.logging:setup_logging:50 | Logging configured
2026-07-13 15:02:38.105 | INFO    | app.main:lifespan:31 | Starting FinanceCalculator API v1.0.0 in development mode
2026-07-13 15:02:38.105 | WARNING | app.main:lifespan:33 | Running in development mode
2026-07-13 15:02:46.189 | INFO    | app.core.logging:setup_logging:50 | Logging configured
2026-07-13 15:02:46.191 | INFO    | app.main:lifespan:31 | Starting FinanceCalculator API v1.0.0 in development mode
2026-07-13 15:02:46.191 | WARNING | app.main:lifespan:33 | Running in development mode
2026-07-13 15:12:35.668 | INFO    | app.core.logging:setup_logging:50 | Logging configured
2026-07-13 15:12:35.671 | INFO    | app.main:lifespan:31 | Starting FinanceCalculator API v1.0.0 in development mode
2026-07-13 15:12:35.671 | WARNING | app.main:lifespan:33 | Running in development mode
2026-07-13 15:13:16.784 | INFO    | app.core.logging:setup_logging:50 | Logging configured
2026-07-13 15:13:16.785 | INFO    | app.main:lifespan:31 | Starting FinanceCalculator API v1.0.0 in development mode
2026-07-13 15:13:16.785 | WARNING | app.main:lifespan:33 | Running in development mode
2026-07-13 15:15:02.762 | INFO    | app.core.logging:setup_logging:50 | Logging configured
2026-07-13 15:15:02.763 | INFO    | app.main:lifespan:31 | Starting FinanceCalculator API v1.0.0 in development mode
2026-07-13 15:15:02.763 | WARNING | app.main:lifespan:33 | Running in development mode
2026-07-13 15:15:08.395 | INFO    | app.core.logging:setup_logging:50 | Logging configured
2026-07-13 15:15:08.397 | INFO    | app.main:lifespan:31 | Starting FinanceCalculator API v1.0.0 in development mode
2026-07-13 15:15:08.397 | WARNING | app.main:lifespan:33 | Running in development mode
2026-07-13 15:27:29.620 | INFO    | app.core.logging:setup_logging:50 | Logging configured
2026-07-13 15:27:29.622 | INFO    | app.main:lifespan:31 | Starting FinanceCalculator API v1.0.0 in development mode
2026-07-13 15:27:29.623 | WARNING | app.main:lifespan:33 | Running in development mode
2026-07-13 15:27:55.710 | INFO    | app.core.logging:setup_logging:50 | Logging configured
2026-07-13 15:27:55.712 | INFO    | app.main:lifespan:31 | Starting FinanceCalculator API v1.0.0 in development mode
2026-07-13 15:27:55.712 | WARNING | app.main:lifespan:33 | Running in development mode
2026-07-13 15:28:57.947 | INFO    | app.core.logging:setup_logging:50 | Logging configured
2026-07-13 15:28:57.949 | INFO    | app.main:lifespan:31 | Starting FinanceCalculator API v1.0.0 in development mode
2026-07-13 15:28:57.949 | WARNING | app.main:lifespan:33 | Running in development mode
2026-07-13 15:39:27.627 | INFO    | app.core.logging:setup_logging:50 | Logging configured
2026-07-13 15:39:27.629 | INFO    | app.main:lifespan:31 | Starting FinanceCalculator API v1.0.0 in development mode
2026-07-13 15:39:27.629 | WARNING | app.main:lifespan:33 | Running in development mode
2026-07-13 16:29:01.446 | INFO    | app.core.logging:setup_logging:50 | Logging configured
2026-07-13 16:29:01.446 | INFO    | app.main:lifespan:31 | Starting FinanceCalculator API v1.0.0 in development mode
2026-07-13 16:29:01.452 | WARNING | app.main:lifespan:33 | Running in development mode
2026-07-13 16:29:13.307 | INFO    | app.core.logging:setup_logging:50 | Logging configured
2026-07-13 16:29:13.307 | INFO    | app.main:lifespan:31 | Starting FinanceCalculator API v1.0.0 in development mode
2026-07-13 16:29:13.307 | WARNING | app.main:lifespan:33 | Running in development mode
2026-07-13 16:29:19.139 | INFO    | app.core.logging:setup_logging:50 | Logging configured
2026-07-13 16:29:19.139 | INFO    | app.main:lifespan:31 | Starting FinanceCalculator API v1.0.0 in development mode
2026-07-13 16:29:19.142 | WARNING | app.main:lifespan:33 | Running in development mode
2026-07-13 16:29:25.535 | INFO    | app.core.logging:setup_logging:50 | Logging configured
2026-07-13 16:29:25.535 | INFO    | app.main:lifespan:31 | Starting FinanceCalculator API v1.0.0 in development mode
2026-07-13 16:29:25.535 | WARNING | app.main:lifespan:33 | Running in development mode
2026-07-13 16:29:28.737 | INFO    | app.core.logging:setup_logging:50 | Logging configured
2026-07-13 16:29:28.737 | INFO    | app.main:lifespan:31 | Starting FinanceCalculator API v1.0.0 in development mode
2026-07-13 16:29:28.737 | WARNING | app.main:lifespan:33 | Running in development mode
2026-07-13 16:29:31.888 | INFO    | app.core.logging:setup_logging:50 | Logging configured
2026-07-13 16:29:31.894 | INFO    | app.main:lifespan:31 | Starting FinanceCalculator API v1.0.0 in development mode
2026-07-13 16:29:31.894 | WARNING | app.main:lifespan:33 | Running in development mode
2026-07-13 16:36:52.110 | INFO    | app.core.logging:setup_logging:50 | Logging configured
2026-07-13 16:36:52.110 | INFO    | app.main:lifespan:31 | Starting FinanceCalculator API v1.0.0 in development mode
2026-07-13 16:36:52.111 | WARNING | app.main:lifespan:33 | Running in development mode
2026-07-13 16:37:50.938 | INFO    | app.core.logging:setup_logging:50 | Logging configured
2026-07-13 16:37:50.939 | INFO    | app.main:lifespan:31 | Starting FinanceCalculator API v1.0.0 in development mode
2026-07-13 16:37:50.939 | WARNING | app.main:lifespan:33 | Running in development mode
2026-07-13 16:38:15.781 | INFO    | app.core.logging:setup_logging:50 | Logging configured
2026-07-13 16:38:15.781 | INFO    | app.main:lifespan:31 | Starting FinanceCalculator API v1.0.0 in development mode
2026-07-13 16:38:15.781 | WARNING | app.main:lifespan:33 | Running in development mode
2026-07-13 16:52:36.728 | INFO    | app.core.logging:setup_logging:50 | Logging configured
2026-07-13 16:52:36.733 | INFO    | app.main:lifespan:31 | Starting FinanceCalculator API v1.0.0 in development mode
2026-07-13 16:52:36.733 | WARNING | app.main:lifespan:33 | Running in development mode
2026-07-13 17:13:02.314 | INFO    | app.core.logging:setup_logging:50 | Logging configured
